HIB Sosialt arbeid,45.2,45.5,45.8,45.1,45.1,44.7,45.5
HIB Ingeniør: energiteknologi,43.8,49.4,45.6,42.3,35.3,38.8,43.0
HIB Sykepleierutdanning,43.8,43.8,43.2,43.1,43.5,43.6,45.2
HIB Faglærer kroppsøving og idrettsfag,46.0,47.6,44.7,44.3,44.3,43.6,44.8
HIB Folkehelsearbeid: kosthold og fysisk aktivitet,46.5,45.6,45.7,45.5,45.8,45.5,45.2
HIB Ergoterapeututdanning,42.7,44.5,43.0,42.1,41.3,42.2,40.9
HIB Radiografutdanning,39.6,38.1,37.5,38.2,36.0,37.5,39.4
HIB Økonomi og administrasjon,46.5,47.3,46.6,46.1,46.6,46.2,47.0
HIB Bioingeniørutdanning,47.7,45.5,44.7,43.6,43.1,45.0,44.5
HIB Fysioterapeututdanning,50.9,50.6,50.3,49.6,50.0,49.4,48.8
HIB Ingeniør: marinteknikk,46.4,43.6,43.8,43.5,45.7,45.5,44.3
HIB Ingeniør: maskinteknikk,42.4,40.5,39.8,43.0,44.8,43.5,45.8
HIB Landmåling og eiendomsdesign,35.0,35.8,36.0,41.4,38.5,38.8,40.4
HIB Ingeniør: undervannsteknologi,38.8,41.0,44.8,46.8,47.7,48.3,42.7
HIB Vernepleierutdanning,36.1,39.3,38.8,38.4,39.0,40.5,40.8
