NTNU Politisk økonomi,41.3,45.2,44.4,44.5,43.6,42.2,42.0
NTNU Psykologi,44.0,44.5,46.7,47.3,46.0,46.9,46.6
NTNU Datateknologi,51.9,49.0,50.9,52.3,53.6,54.4,55.2
NTNU Biologi og kjemi,55.3,51.9,51.1,49.8,53.6,52.9,54.9
NTNU Kybernetikk og robotikk,51.5,51.6,51.5,52.4,53.9,55.3,56.5
NTNU Elektronisk systemdesign og innovasjon,48.1,48.6,47.8,49.9,51.5,52.8,53.2
NTNU Lektorutdanning i realfag,49.7,50.0,49.0,48.3,49.7,50.7,49.8
NTNU Fysikk og matematikk,53.9,55.5,56.5,56.4,57.2,58.6,58.3
NTNU Industriell kjemi og bioteknologi,53.0,53.9,52.6,52.6,51.9,52.8,53.9
NTNU Informatikk,43.0,43.6,44.3,45.6,45.6,46.3,47.7
NTNU Marin teknikk,52.2,53.1,53.1,53.6,54.7,55.4,54.7
NTNU Lektorutdanning i historie,45.3,45.0,49.5,50.0,50.9,49.6,49.2
NTNU Bevegelsesvitenskap,44.3,45.2,44.8,44.1,43.9,42.5,42.4
NTNU Produktutvikling og produksjon,52.2,52.7,52.8,53.6,54.7,54.9,54.3
NTNU Lektorutdanning språkfag/engelsk,46.1,44.8,46.1,46.2,48.8,47.8,47.6
NTNU Arkeologi,41.4,43.0,40.8,38.5,36.0,33.5,31.4
NTNU Industriell økonomi og teknologiledelse,58.2,58.2,58.9,59.5,59.8,60.2,60.6
NTNU Industriell design,55.6,54.4,54.4,54.0,54.4,54.1,54.3
NTNU Energi og miljø,53.7,54.2,54.6,55.0,55.7,56.3,56.4
NTNU Kjemi,48.0,49.8,49.2,50.9,50.5,50.4,51.5
NTNU Geografi: årsstudium,38.9,40.4,44.0,40.0,35.8,39.3,38.8
NTNU Samfunnsøkonomi: årsstudium,43.5,44.2,47.1,45.1,43.1,44.6,43.8
NTNU Samfunnsøkonomi,44.2,44.6,44.1,44.1,43.7,44.3,44.3
NTNU Filosofi: årsstudium,40.0,43.7,42.3,42.2,37.0,41.9,41.8
NTNU Matematiske fag,45.1,48.8,49.8,49.0,49.9,53.2,51.2
NTNU Samfunnsøkonomi: master,49.2,49.8,48.1,46.5,47.5,49.8,48.8
NTNU Matematiske fag: årsstudium,42.3,45.8,48.6,47.7,46.1,49.8,48.0
NTNU Lektorutdanning i samfunnsfag,47.7,48.4,48.6,48.9,49.9,50.2,49.2
NTNU Engelsk: årsstudium,41.6,42.2,43.0,43.3,40.0,42.0,39.2
NTNU Tekniske geofag,48.5,51.6,51.5,52.2,54.3,54.9,53.9
NTNU Psykologi: årsstudium,47.0,47.5,48.8,48.0,46.8,47.7,46.4
NTNU Sosiologi,39.1,41.3,40.0,40.4,38.4,40.1,40.4
NTNU Statsvitskap,43.8,44.6,44.8,44.4,44.7,44.7,45.0
NTNU Materialteknologi,50.7,52.1,51.9,51.8,51.9,53.6,54.4
NTNU Historie: årsstudium,38.8,37.1,40.0,34.4,36.9,36.9,36.3
NTNU Arkitektur,54.7,54.8,54.4,52.8,52.8,53.0,53.6
NTNU Petroleumsfag,51.7,51.8,51.9,54.8,57.2,56.9,52.6
NTNU Bygg- og miljøteknikk,52.1,52.2,51.9,52.2,53.5,54.0,54.8
NTNU Engelsk,36.2,39.1,35.6,37.2,37.5,38.6,37.2
NTNU Historie,38.0,37.8,35.5,32.2,37.7,35.0,36.4
NTNU Kommunikasjonsteknologi,48.7,47.2,49.6,49.4,51.1,52.9,54.0
NTNU Pedagogikk,35.8,38.6,35.8,33.8,37.2,36.3,39.0
NTNU Geografi,34.6,36.3,30.5,34.8,37.7,36.9,36.2
NTNU Film- og videoproduksjon,47.9,48.9,49.0,50.4,50.3,48.0,48.4
NTNU Bioteknologi,52.1,53.5,52.6,52.7,51.9,53.6,54.9
NTNU Samfunns- og idrettsvitenskap,41.8,41.3,42.8,42.7,42.1,41.9,42.1
NTNU Nanoteknologi,60.0,61.9,61.9,61.1,61.5,61.8,62.2
NTNU Fysikk,49.4,52.4,52.7,54.4,54.4,53.2,53.9
NTNU Geologi,47.4,51.2,49.3,50.8,50.6,50.4,49.6
NTNU Biologi,49.6,47.8,49.4,48.2,47.8,47.7,47.9
NTNU Ingeniørvitenskap og IKT,51.0,50.7,52.0,52.7,53.2,54.4,54.4
