UIB Administrasjon og organisasjonsvitenskap,37.3,40.8,38.8,40.8,40.5,35.7,34.6
UIB Psykologi: årsstudium,42.6,45.7,46.5,46.2,48.1,48.3,46.8
UIB Farmasi,51.5,50.7,49.9,49.8,48.7,48.8,50.6
UIB Human ernæring,54.6,54.7,53.4,51.8,52.1,50.0,50.3
UIB Sosiologi,37.9,42.6,41.2,40.0,39.6,38.3,36.7
UIB Kognitiv vitenskap,38.5,40.5,40.4,42.0,44.8,43.1,43.8
UIB Film- og tv-produksjon,49.5,49.6,49.3,49.7,48.9,47.6,46.7
UIB Nye medier,42.4,43.5,41.5,40.0,39.6,38.8,37.7
UIB Rettsvitenskap,48.9,50.0,50.0,50.5,50.5,51.0,51.2
UIB Medievitenskap,41.3,42.9,43.2,42.8,41.1,36.8,33.0
UIB Pedagogikk,39.2,43.6,42.5,41.1,42.0,41.2,38.9
UIB Sosiologi: årsstudium,41.0,43.5,43.9,42.3,44.8,44.4,42.2
UIB Administrasjon og organisasjonsvitenskap: årsstud.,38.3,42.4,42.5,43.2,41.8,35.9,38.8
UIB Nanoteknologi,53.2,52.7,52.6,49.0,49.2,49.8,50.7
UIB Arbeids- og organisasjonspsykologi,45.5,46.3,47.5,47.4,47.5,47.3,46.8
UIB Informasjonsvitenskap,37.2,38.7,33.7,34.6,34.3,33.7,35.3
UIB Odontologi,54.8,54.2,54.0,53.5,54.0,55.4,55.3
UIB Samfunnsøkonomi: master,46.8,47.8,47.2,47.7,47.2,46.8,46.1
UIB Journalistikk,52.6,52.7,52.0,51.2,50.4,50.4,50.0
UIB Tannpleie,39.9,42.4,41.8,40.8,41.2,39.2,40.3
UIB Medievitenskap: årsstudium,44.1,45.5,44.2,44.0,44.0,38.9,37.7
UIB Miljø- og ressursfag: samfunnsvitenskapelig,39.0,46.4,44.2,38.4,43.6,44.6,47.3
UIB Generell psykologi,45.4,47.4,48.2,48.1,47.6,48.1,47.6
UIB Sammenliknende politikk,44.3,44.7,43.8,44.3,42.8,42.2,40.4
UIB Sosialantropologi,40.4,42.0,39.2,36.9,35.2,33.5,32.9
UIB Sammenliknende politikk: årsstudium,41.3,45.0,45.0,43.1,44.7,42.1,45.2
UIB Samfunnsøkonomi: årsstudium,46.1,48.5,47.7,48.8,49.8,46.8,47.5
UIB Sosialantropologi: årsstudium,40.3,43.2,44.2,42.1,42.7,41.7,39.6
UIB Samfunnsøkonomi: bachelor,44.4,45.2,45.6,46.3,46.2,44.1,43.0
