Programme,2009,2010,2011,2012,2013,2014,2015
HIB Sosialt arbeid,45.2,45.5,45.8,45.1,45.1,44.7,45.5
HIB Ingeniør: energiteknologi,43.8,49.4,45.6,42.3,35.3,38.8,43.0
HIB Sykepleierutdanning,43.8,43.8,43.2,43.1,43.5,43.6,45.2
HIB Faglærer kroppsøving og idrettsfag,46.0,47.6,44.7,44.3,44.3,43.6,44.8
HIB Folkehelsearbeid: kosthold og fysisk aktivitet,46.5,45.6,45.7,45.5,45.8,45.5,45.2
HIB Ergoterapeututdanning,42.7,44.5,43.0,42.1,41.3,42.2,40.9
HIB Radiografutdanning,39.6,38.1,37.5,38.2,36.0,37.5,39.4
HIB Økonomi og administrasjon,46.5,47.3,46.6,46.1,46.6,46.2,47.0
HIB Bioingeniørutdanning,47.7,45.5,44.7,43.6,43.1,45.0,44.5
HIB Fysioterapeututdanning,50.9,50.6,50.3,49.6,50.0,49.4,48.8
HIB Ingeniør: marinteknikk,46.4,43.6,43.8,43.5,45.7,45.5,44.3
HIB Ingeniør: maskinteknikk,42.4,40.5,39.8,43.0,44.8,43.5,45.8
HIB Landmåling og eiendomsdesign,35.0,35.8,36.0,41.4,38.5,38.8,40.4
HIB Ingeniør: undervannsteknologi,38.8,41.0,44.8,46.8,47.7,48.3,42.7
HIB Vernepleierutdanning,36.1,39.3,38.8,38.4,39.0,40.5,40.8
Haraldsplass Sykepleierutdanning,43.7,43.2,41.8,43.0,43.1,42.9,44.3
NHH Siviløkonomutdanningen,52.7,52.7,53.0,52.9,52.9,53.0,53.4
NTNU Politisk økonomi,41.3,45.2,44.4,44.5,43.6,42.2,42.0
NTNU Psykologi,44.0,44.5,46.7,47.3,46.0,46.9,46.6
NTNU Datateknologi,51.9,49.0,50.9,52.3,53.6,54.4,55.2
NTNU Biologi og kjemi,55.3,51.9,51.1,49.8,53.6,52.9,54.9
NTNU Kybernetikk og robotikk,51.5,51.6,51.5,52.4,53.9,55.3,56.5
NTNU Elektronisk systemdesign og innovasjon,48.1,48.6,47.8,49.9,51.5,52.8,53.2
NTNU Lektorutdanning i realfag,49.7,50.0,49.0,48.3,49.7,50.7,49.8
NTNU Fysikk og matematikk,53.9,55.5,56.5,56.4,57.2,58.6,58.3
NTNU Industriell kjemi og bioteknologi,53.0,53.9,52.6,52.6,51.9,52.8,53.9
NTNU Informatikk,43.0,43.6,44.3,45.6,45.6,46.3,47.7
NTNU Marin teknikk,52.2,53.1,53.1,53.6,54.7,55.4,54.7
NTNU Lektorutdanning i historie,45.3,45.0,49.5,50.0,50.9,49.6,49.2
NTNU Bevegelsesvitenskap,44.3,45.2,44.8,44.1,43.9,42.5,42.4
NTNU Produktutvikling og produksjon,52.2,52.7,52.8,53.6,54.7,54.9,54.3
NTNU Lektorutdanning språkfag/engelsk,46.1,44.8,46.1,46.2,48.8,47.8,47.6
NTNU Arkeologi,41.4,43.0,40.8,38.5,36.0,33.5,31.4
NTNU Industriell økonomi og teknologiledelse,58.2,58.2,58.9,59.5,59.8,60.2,60.6
NTNU Industriell design,55.6,54.4,54.4,54.0,54.4,54.1,54.3
NTNU Energi og miljø,53.7,54.2,54.6,55.0,55.7,56.3,56.4
NTNU Kjemi,48.0,49.8,49.2,50.9,50.5,50.4,51.5
NTNU Geografi: årsstudium,38.9,40.4,44.0,40.0,35.8,39.3,38.8
NTNU Samfunnsøkonomi: årsstudium,43.5,44.2,47.1,45.1,43.1,44.6,43.8
NTNU Samfunnsøkonomi,44.2,44.6,44.1,44.1,43.7,44.3,44.3
NTNU Filosofi: årsstudium,40.0,43.7,42.3,42.2,37.0,41.9,41.8
NTNU Matematiske fag,45.1,48.8,49.8,49.0,49.9,53.2,51.2
NTNU Samfunnsøkonomi: master,49.2,49.8,48.1,46.5,47.5,49.8,48.8
NTNU Matematiske fag: årsstudium,42.3,45.8,48.6,47.7,46.1,49.8,48.0
NTNU Lektorutdanning i samfunnsfag,47.7,48.4,48.6,48.9,49.9,50.2,49.2
