Programme,year,score
HIB Sosialt arbeid,2009,45.2
HIB Sosialt arbeid,2010,45.5
HIB Sosialt arbeid,2011,45.8
HIB Sosialt arbeid,2012,45.1
HIB Sosialt arbeid,2013,45.1
HIB Sosialt arbeid,2014,44.7
HIB Sosialt arbeid,2015,45.5
HIB Ingeniør: energiteknologi,2009,43.8
HIB Ingeniør: energiteknologi,2010,49.4
HIB Ingeniør: energiteknologi,2011,45.6
HIB Ingeniør: energiteknologi,2012,42.3
HIB Ingeniør: energiteknologi,2013,35.3
HIB Ingeniør: energiteknologi,2014,38.8
HIB Ingeniør: energiteknologi,2015,43.0
HIB Sykepleierutdanning,2009,43.8
HIB Sykepleierutdanning,2010,43.8
HIB Sykepleierutdanning,2011,43.2
HIB Sykepleierutdanning,2012,43.1
HIB Sykepleierutdanning,2013,43.5
HIB Sykepleierutdanning,2014,43.6
HIB Sykepleierutdanning,2015,45.2
HIB Faglærer kroppsøving og idrettsfag,2009,46.0
HIB Faglærer kroppsøving og idrettsfag,2010,47.6
HIB Faglærer kroppsøving og idrettsfag,2011,44.7
HIB Faglærer kroppsøving og idrettsfag,2012,44.3
HIB Faglærer kroppsøving og idrettsfag,2013,44.3
HIB Faglærer kroppsøving og idrettsfag,2014,43.6
HIB Faglærer kroppsøving og idrettsfag,2015,44.8
HIB Folkehelsearbeid: kosthold og fysisk aktivitet,2009,46.5
HIB Folkehelsearbeid: kosthold og fysisk aktivitet,2010,45.6
HIB Folkehelsearbeid: kosthold og fysisk aktivitet,2011,45.7
HIB Folkehelsearbeid: kosthold og fysisk aktivitet,2012,45.5
HIB Folkehelsearbeid: kosthold og fysisk aktivitet,2013,45.8
HIB Folkehelsearbeid: kosthold og fysisk aktivitet,2014,45.5
HIB Folkehelsearbeid: kosthold og fysisk aktivitet,2015,45.2
HIB Ergoterapeututdanning,2009,42.7
HIB Ergoterapeututdanning,2010,44.5
HIB Ergoterapeututdanning,2011,43.0
HIB Ergoterapeututdanning,2012,42.1
HIB Ergoterapeututdanning,2013,41.3
HIB Ergoterapeututdanning,2014,42.2
HIB Ergoterapeututdanning,2015,40.9
HIB Radiografutdanning,2009,39.6
HIB Radiografutdanning,2010,38.1
HIB Radiografutdanning,2011,37.5
HIB Radiografutdanning,2012,38.2
HIB Radiografutdanning,2013,36.0
HIB Radiografutdanning,2014,37.5
HIB Radiografutdanning,2015,39.4
HIB Økonomi og administrasjon,2009,46.5
HIB Økonomi og administrasjon,2010,47.3
HIB Økonomi og administrasjon,2011,46.6
HIB Økonomi og administrasjon,2012,46.1
HIB Økonomi og administrasjon,2013,46.6
HIB Økonomi og administrasjon,2014,46.2
HIB Økonomi og administrasjon,2015,47.0
HIB Bioingeniørutdanning,2009,47.7
HIB Bioingeniørutdanning,2010,45.5
HIB Bioingeniørutdanning,2011,44.7
HIB Bioingeniørutdanning,2012,43.6
HIB Bioingeniørutdanning,2013,43.1
HIB Bioingeniørutdanning,2014,45.0
HIB Bioingeniørutdanning,2015,44.5
HIB Fysioterapeututdanning,2009,50.9
HIB Fysioterapeututdanning,2010,50.6
HIB Fysioterapeututdanning,2011,50.3
HIB Fysioterapeututdanning,2012,49.6
HIB Fysioterapeututdanning,2013,50.0
HIB Fysioterapeututdanning,2014,49.4
HIB Fysioterapeututdanning,2015,48.8
HIB Ingeniør: marinteknikk,2009,46.4
HIB Ingeniør: marinteknikk,2010,43.6
HIB Ingeniør: marinteknikk,2011,43.8
HIB Ingeniør: marinteknikk,2012,43.5
HIB Ingeniør: marinteknikk,2013,45.7
HIB Ingeniør: marinteknikk,2014,45.5
HIB Ingeniør: marinteknikk,2015,44.3
HIB Ingeniør: maskinteknikk,2009,42.4
HIB Ingeniør: maskinteknikk,2010,40.5
HIB Ingeniør: maskinteknikk,2011,39.8
HIB Ingeniør: maskinteknikk,2012,43.0
HIB Ingeniør: maskinteknikk,2013,44.8
HIB Ingeniør: maskinteknikk,2014,43.5
HIB Ingeniør: maskinteknikk,2015,45.8
HIB Landmåling og eiendomsdesign,2009,35.0
HIB Landmåling og eiendomsdesign,2010,35.8
HIB Landmåling og eiendomsdesign,2011,36.0
HIB Landmåling og eiendomsdesign,2012,41.4
HIB Landmåling og eiendomsdesign,2013,38.5
HIB Landmåling og eiendomsdesign,2014,38.8
HIB Landmåling og eiendomsdesign,2015,40.4
HIB Ingeniør: undervannsteknologi,2009,38.8
HIB Ingeniør: undervannsteknologi,2010,41.0
HIB Ingeniør: undervannsteknologi,2011,44.8
HIB Ingeniør: undervannsteknologi,2012,46.8
HIB Ingeniør: undervannsteknologi,2013,47.7
HIB Ingeniør: undervannsteknologi,2014,48.3
HIB Ingeniør: undervannsteknologi,2015,42.7
HIB Vernepleierutdanning,2009,36.1
HIB Vernepleierutdanning,2010,39.3
HIB Vernepleierutdanning,2011,38.8
HIB Vernepleierutdanning,2012,38.4
HIB Vernepleierutdanning,2013,39.0
HIB Vernepleierutdanning,2014,40.5
HIB Vernepleierutdanning,2015,40.8
Haraldsplass Sykepleierutdanning,2009,43.7
Haraldsplass Sykepleierutdanning,2010,43.2
Haraldsplass Sykepleierutdanning,2011,41.8
Haraldsplass Sykepleierutdanning,2012,43.0
Haraldsplass Sykepleierutdanning,2013,43.1
Haraldsplass Sykepleierutdanning,2014,42.9
Haraldsplass Sykepleierutdanning,2015,44.3
NHH Siviløkonomutdanningen,2009,52.7
NHH Siviløkonomutdanningen,2010,52.7
