NTNU Politisk økonomi,45.3,46.5,45.5,47.4,44.6,46.8,45.9
NTNU Psykologi,47.4,48.0,51.1,52.3,51.1,50.6,49.8
NTNU Datateknologi,49.4,49.2,50.1,52.4,54.0,55.1,55.2
NTNU Biologi og kjemi,57.5,54.0,52.8,52.9,57.6,57.8,56.8
NTNU Kybernetikk og robotikk,50.7,50.0,51.3,52.2,53.6,55.8,56.3
NTNU Elektronisk systemdesign og innovasjon,47.3,48.0,47.4,50.3,52.6,54.3,54.7
NTNU Lektorutdanning i realfag,46.9,47.2,48.7,48.3,51.2,51.4,49.0
NTNU Fysikk og matematikk,50.5,54.0,56.0,55.2,56.5,57.3,57.6
NTNU Industriell kjemi og bioteknologi,50.0,52.3,49.4,49.7,51.4,53.8,53.5
NTNU Informatikk,43.1,44.8,45.1,47.5,45.6,47.2,48.9
NTNU Marin teknikk,52.2,53.1,54.0,54.7,55.7,56.4,55.9
NTNU Lektorutdanning i historie,45.1,47.2,51.5,52.5,53.9,54.3,53.9
NTNU Bevegelsesvitenskap,48.1,48.3,47.9,47.4,48.0,46.5,46.0
NTNU Produktutvikling og produksjon,52.8,52.5,53.0,54.3,55.7,56.3,55.8
NTNU Lektorutdanning språkfag/engelsk,43.8,45.5,47.6,48.5,49.0,49.7,50.4
NTNU Arkeologi,43.9,44.6,43.2,41.8,41.6,39.7,39.5
NTNU Industriell økonomi og teknologiledelse,59.7,60.8,61.5,61.8,62.7,63.5,64.0
NTNU Industriell design,58.4,58.5,58.8,58.6,59.3,58.0,57.9
NTNU Energi og miljø,53.2,53.9,54.0,53.6,55.1,56.0,56.0
NTNU Kjemi,46.9,48.8,50.0,50.8,49.8,50.2,51.9
NTNU Geografi: årsstudium,48.4,52.2,50.9,50.5,46.4,50.9,52.5
NTNU Samfunnsøkonomi: årsstudium,51.1,52.8,55.2,49.5,49.6,53.0,55.1
NTNU Samfunnsøkonomi,47.8,47.2,47.5,47.8,46.9,48.3,48.1
NTNU Filosofi: årsstudium,42.3,45.0,44.2,44.7,39.4,43.0,45.5
NTNU Matematiske fag,46.7,48.6,47.2,50.9,50.5,53.0,51.6
NTNU Samfunnsøkonomi: master,51.0,51.4,51.2,48.1,48.6,50.4,49.8
NTNU Matematiske fag: årsstudium,46.9,52.8,49.3,53.9,54.2,53.8,52.1
NTNU Lektorutdanning i samfunnsfag,48.5,48.6,52.2,52.0,54.6,54.4,52.3
NTNU Engelsk: årsstudium,47.1,46.9,48.6,50.2,47.7,48.5,49.8
NTNU Tekniske geofag,48.3,50.3,52.4,54.2,55.8,56.6,55.0
NTNU Psykologi: årsstudium,46.9,48.3,50.8,50.4,49.7,49.9,49.7
NTNU Sosiologi,41.2,43.3,42.8,42.7,42.4,41.7,44.2
NTNU Statsvitskap,43.9,46.6,46.2,46.0,45.9,46.6,46.0
NTNU Materialteknologi,50.5,50.8,51.6,52.3,53.7,55.1,54.5
NTNU Historie: årsstudium,47.4,49.6,48.0,47.5,46.4,44.9,45.3
NTNU Arkitektur,59.9,59.4,58.0,58.3,57.5,56.9,58.4
NTNU Petroleumsfag,51.4,51.6,52.5,55.2,57.7,58.8,54.1
NTNU Bygg- og miljøteknikk,52.7,52.4,53.1,53.4,54.9,55.8,56.3
NTNU Engelsk,42.6,42.1,41.5,43.4,40.0,37.9,38.0
NTNU Historie,40.3,41.4,40.9,43.1,40.7,40.0,40.2
NTNU Kommunikasjonsteknologi,47.0,50.4,48.8,51.3,53.2,54.5,54.7
NTNU Pedagogikk,41.3,43.6,42.5,43.1,43.8,43.6,45.4
NTNU Geografi,36.0,40.7,39.5,38.7,43.9,41.8,42.7
NTNU Film- og videoproduksjon,54.9,55.6,53.1,53.0,53.1,50.8,54.8
NTNU Bioteknologi,54.1,53.0,54.1,53.5,52.7,54.2,55.0
NTNU Samfunns- og idrettsvitenskap,45.0,45.1,46.0,46.1,45.7,45.5,45.2
NTNU Nanoteknologi,63.6,63.0,62.0,63.2,61.3,62.8,63.0
NTNU Fysikk,49.6,51.7,52.6,54.4,54.4,53.8,53.5
NTNU Geologi,48.4,50.6,53.6,53.2,54.9,55.7,53.0
NTNU Biologi,49.4,50.0,51.7,48.8,49.1,50.3,49.9
NTNU Ingeniørvitenskap og IKT,49.0,49.6,51.5,52.6,54.3,54.4,55.1
