UIB Administrasjon og organisasjonsvitenskap,42.6,46.1,46.7,47.9,44.2,42.5,40.4
UIB Psykologi: årsstudium,44.1,47.9,49.3,49.0,51.5,51.6,49.0
UIB Farmasi,56.5,52.2,53.7,52.3,53.3,50.6,52.8
UIB Human ernæring,63.0,61.3,60.7,61.3,62.6,57.4,54.8
UIB Sosiologi,45.0,45.1,44.3,43.9,43.7,40.3,40.0
UIB Kognitiv vitenskap,42.1,43.2,45.9,48.2,51.0,47.7,49.1
UIB Film- og tv-produksjon,54.9,54.9,53.8,53.6,54.5,53.3,51.6
UIB Nye medier,47.7,48.0,45.2,46.3,46.4,45.3,44.3
UIB Rettsvitenskap,52.3,53.6,54.5,55.6,56.7,57.4,57.4
UIB Medievitenskap,45.0,46.0,46.0,45.6,44.1,38.4,33.9
UIB Pedagogikk,48.0,47.4,49.6,49.7,48.9,49.0,46.6
UIB Sosiologi: årsstudium,43.6,49.1,49.6,51.3,51.3,51.3,50.3
UIB Administrasjon og organisasjonsvitenskap: årsstud.,50.4,53.0,53.0,55.1,55.6,54.0,54.0
UIB Nanoteknologi,52.3,54.0,52.7,52.1,49.6,51.1,50.1
UIB Arbeids- og organisasjonspsykologi,56.1,57.0,57.1,56.4,55.6,56.0,54.7
UIB Informasjonsvitenskap,42.3,42.9,43.4,43.7,44.9,43.1,43.3
UIB Odontologi,63.5,62.6,63.4,63.2,63.9,63.9,64.1
UIB Samfunnsøkonomi: master,48.6,50.3,48.5,50.3,49.8,48.3,48.0
UIB Journalistikk,58.6,58.4,57.2,57.1,57.7,55.7,55.6
UIB Tannpleie,46.3,48.2,45.8,45.3,46.5,43.5,43.7
UIB Medievitenskap: årsstudium,46.9,52.7,52.8,52.6,51.6,45.1,49.8
UIB Miljø- og ressursfag: samfunnsvitenskapelig,53.1,50.9,46.3,46.3,45.8,48.7,50.2
UIB Generell psykologi,51.9,54.2,56.0,54.8,54.6,54.8,53.1
UIB Sammenliknende politikk,44.3,45.5,45.2,46.5,47.1,40.8,36.9
UIB Sosialantropologi,43.8,43.9,43.4,41.0,39.8,37.1,34.0
UIB Sammenliknende politikk: årsstudium,47.0,54.4,50.2,54.6,54.4,52.2,52.2
UIB Samfunnsøkonomi: årsstudium,51.2,55.3,56.2,58.6,57.4,55.7,55.3
UIB Sosialantropologi: årsstudium,43.5,50.8,48.7,50.8,51.2,46.4,46.2
UIB Samfunnsøkonomi: bachelor,47.8,49.7,50.0,50.4,50.8,47.4,46.3
