Programme,2009,2010,2011,2012,2013,2014,2015
HIB Sosialt arbeid,51.2,51.6,52.0,53.6,52.1,51.9,51.9
HIB Ingeniør: energiteknologi,49.5,49.2,52.8,50.9,49.8,50.0,50.7
HIB Sykepleierutdanning,48.0,48.4,47.4,47.9,47.7,47.9,48.6
HIB Faglærer kroppsøving og idrettsfag,49.6,53.3,51.4,49.6,52.0,47.7,48.7
HIB Folkehelsearbeid: kosthold og fysisk aktivitet,49.5,49.9,50.7,52.4,51.7,52.0,49.0
HIB Ergoterapeututdanning,46.8,48.1,46.9,45.8,46.9,45.0,46.3
HIB Radiografutdanning,42.9,43.4,43.2,43.9,43.5,43.0,44.7
HIB Økonomi og administrasjon,49.6,50.7,50.2,50.7,51.2,49.1,49.9
HIB Bioingeniørutdanning,48.6,46.3,48.6,50.2,49.4,48.2,48.9
HIB Fysioterapeututdanning,55.7,56.3,56.0,56.0,55.2,54.8,54.7
HIB Ingeniør: marinteknikk,49.5,46.8,47.1,53.2,53.4,53.3,48.3
HIB Ingeniør: maskinteknikk,48.2,48.5,48.8,50.3,51.7,53.7,54.4
HIB Landmåling og eiendomsdesign,41.8,45.6,45.2,49.6,48.9,48.7,47.4
HIB Ingeniør: undervannsteknologi,53.6,52.8,52.2,55.6,56.8,54.9,48.1
HIB Vernepleierutdanning,46.3,46.9,48.2,48.5,50.9,47.0,47.3
Haraldsplass Sykepleierutdanning,46.3,47.0,46.1,47.1,47.3,47.2,48.0
NHH Siviløkonomutdanningen,54.7,55.5,55.2,56.1,56.7,56.2,56.3
NTNU Politisk økonomi,45.3,46.5,45.5,47.4,44.6,46.8,45.9
NTNU Psykologi,47.4,48.0,51.1,52.3,51.1,50.6,49.8
NTNU Datateknologi,49.4,49.2,50.1,52.4,54.0,55.1,55.2
NTNU Biologi og kjemi,57.5,54.0,52.8,52.9,57.6,57.8,56.8
NTNU Kybernetikk og robotikk,50.7,50.0,51.3,52.2,53.6,55.8,56.3
NTNU Elektronisk systemdesign og innovasjon,47.3,48.0,47.4,50.3,52.6,54.3,54.7
NTNU Lektorutdanning i realfag,46.9,47.2,48.7,48.3,51.2,51.4,49.0
NTNU Fysikk og matematikk,50.5,54.0,56.0,55.2,56.5,57.3,57.6
NTNU Industriell kjemi og bioteknologi,50.0,52.3,49.4,49.7,51.4,53.8,53.5
NTNU Informatikk,43.1,44.8,45.1,47.5,45.6,47.2,48.9
NTNU Marin teknikk,52.2,53.1,54.0,54.7,55.7,56.4,55.9
NTNU Lektorutdanning i historie,45.1,47.2,51.5,52.5,53.9,54.3,53.9
NTNU Bevegelsesvitenskap,48.1,48.3,47.9,47.4,48.0,46.5,46.0
NTNU Produktutvikling og produksjon,52.8,52.5,53.0,54.3,55.7,56.3,55.8
NTNU Lektorutdanning språkfag/engelsk,43.8,45.5,47.6,48.5,49.0,49.7,50.4
NTNU Arkeologi,43.9,44.6,43.2,41.8,41.6,39.7,39.5
NTNU Industriell økonomi og teknologiledelse,59.7,60.8,61.5,61.8,62.7,63.5,64.0
NTNU Industriell design,58.4,58.5,58.8,58.6,59.3,58.0,57.9
NTNU Energi og miljø,53.2,53.9,54.0,53.6,55.1,56.0,56.0
NTNU Kjemi,46.9,48.8,50.0,50.8,49.8,50.2,51.9
NTNU Geografi: årsstudium,48.4,52.2,50.9,50.5,46.4,50.9,52.5
NTNU Samfunnsøkonomi: årsstudium,51.1,52.8,55.2,49.5,49.6,53.0,55.1
NTNU Samfunnsøkonomi,47.8,47.2,47.5,47.8,46.9,48.3,48.1
NTNU Filosofi: årsstudium,42.3,45.0,44.2,44.7,39.4,43.0,45.5
NTNU Matematiske fag,46.7,48.6,47.2,50.9,50.5,53.0,51.6
